Flight_1,Flight_2,Flight_3,Flight_4,Flight_5,Flight_6,Flight_7,Flight_8,Flight_9,Flight_10,Flight_11,Flight_12,Flight_13,Flight_14,Flight_15,Flight_16,Flight_17,Flight_18,Flight_19,Flight_20,Flight_21,Flight_22,Flight_23,Flight_24,Flight_25,Flight_26,Flight_27,Flight_28,Flight_29,Flight_30,Flight_31,Flight_32,Flight_33,Flight_34,Flight_35,Flight_36,Flight_37,Flight_38,Flight_39,Flight_40,Flight_41,Flight_42,Flight_43,Flight_44,Flight_45,Flight_46,Flight_47,Flight_48,Flight_49,Flight_50,Flight_51,Flight_52,Flight_53,Flight_54,Flight_55,Flight_56,Flight_57,Flight_58,Flight_59,Flight_60,Flight_61,Flight_62,Flight_63,Flight_64,Flight_65,Flight_66,Flight_67,Flight_68,Flight_69,Flight_70,Flight_71,Flight_72,Flight_73,Flight_74,Flight_75,Flight_76,Flight_77,Flight_78,Flight_79,Flight_80,Flight_81,Flight_82,Flight_83,Flight_84,Flight_85,Flight_86,Flight_87,Flight_88,Flight_89,Flight_90,Flight_91,Flight_92,Flight_93,Flight_94,Flight_95,Flight_96,Flight_97,Flight_98,Flight_99,Flight_100
73.0,49.0,55.0,55.0,7.0,68.0,55.0,69.0,45.0,64.0,8.0,50.0,70.0,9.0,31.0,53.0,32.0,55.0,21.0,59.0,20.0,37.0,28.0,13.0,91.0,14.0,13.0,84.0,60.0,22.0,53.0,39.0,56.0,30.0,96.0,32.0,37.0,76.0,19.0,80.0,18.0,61.0,65.0,23.0,13.0,1.0,41.0,80.0,45.0,61.0,10.0,68.0,28.0,31.0,84.0,83.0,91.0,62.0,51.0,74.0,93.0,20.0,63.0,48.0,69.0,72.0,47.0,67.0,36.0,26.0,49.0,85.0,72.0,9.0,64.0,34.0,9.0,67.0,52.0,30.0,18.0,69.0,37.0,16.0,52.0,66.0,31.0,80.0,7.0,14.0,95.0,74.0,14.0,23.0,9.0,87.0,27.0,47.0,74.0,71.0
73.0,49.0,55.0,55.0,7.0,68.0,55.0,69.0,45.0,64.0,8.0,50.0,70.0,9.0,31.0,53.0,32.0,55.0,21.0,59.0,20.0,37.0,28.0,13.0,91.0,14.0,13.0,84.0,60.0,22.0,53.0,39.0,56.0,30.0,96.0,32.0,37.0,76.0,19.0,80.0,18.0,61.0,65.0,23.0,13.0,1.0,41.0,80.0,45.0,61.0,10.0,68.0,28.0,31.0,84.0,83.0,91.0,62.0,51.0,74.0,93.0,20.0,63.0,48.0,69.0,72.0,47.0,67.0,36.0,26.0,49.0,85.0,72.0,9.0,64.0,34.0,9.0,67.0,52.0,30.0,18.0,69.0,37.0,16.0,52.0,66.0,31.0,80.0,7.0,14.0,95.0,74.0,14.0,23.0,9.0,87.0,27.0,47.0,74.0,71.0
77.0,52.0,59.0,58.0,10.0,70.0,57.0,72.0,48.0,66.0,12.0,51.0,72.0,11.0,33.0,56.0,35.0,56.0,23.0,61.0,21.0,38.0,31.0,15.0,92.0,16.0,15.0,88.0,62.0,23.0,56.0,42.0,58.0,32.0,99.0,35.0,41.0,80.0,21.0,83.0,21.0,63.0,68.0,26.0,17.0,3.0,44.0,83.0,46.0,63.0,12.0,72.0,31.0,36.0,88.0,87.0,93.0,65.0,54.0,78.0,94.0,22.0,65.0,51.0,74.0,75.0,51.0,68.0,37.0,29.0,51.0,86.0,76.0,12.0,65.0,39.0,11.0,69.0,53.0,34.0,21.0,72.0,39.0,18.0,55.0,69.0,34.0,84.0,8.0,17.0,98.0,76.0,17.0,26.0,11.0,89.0,28.0,51.0,78.0,74.0
78.0,54.0,60.0,61.0,14.0,74.0,59.0,76.0,52.0,69.0,13.0,55.0,75.0,13.0,37.0,57.0,36.0,60.0,24.0,65.0,25.0,41.0,33.0,18.0,95.0,20.0,19.0,90.0,67.0,26.0,57.0,43.0,60.0,36.0,100.0,37.0,43.0,83.0,22.0,87.0,25.0,67.0,70.0,27.0,18.0,7.0,45.0,85.0,49.0,67.0,16.0,73.0,32.0,39.0,92.0,90.0,95.0,69.0,55.0,81.0,97.0,25.0,68.0,52.0,77.0,79.0,54.0,72.0,41.0,30.0,54.0,89.0,78.0,16.0,69.0,40.0,14.0,74.0,57.0,37.0,22.0,73.0,41.0,20.0,56.0,73.0,38.0,86.0,12.0,19.0,102.0,80.0,21.0,30.0,14.0,93.0,32.0,54.0,80.0,78.0
81.0,57.0,60.0,64.0,15.0,78.0,61.0,78.0,56.0,69.0,13.0,57.0,75.0,15.0,38.0,57.0,36.0,62.0,29.0,69.0,29.0,41.0,36.0,22.0,100.0,24.0,23.0,92.0,68.0,26.0,62.0,47.0,62.0,36.0,104.0,37.0,43.0,83.0,27.0,87.0,29.0,70.0,73.0,32.0,18.0,8.0,49.0,85.0,54.0,68.0,20.0,76.0,32.0,42.0,94.0,92.0,100.0,69.0,60.0,83.0,102.0,25.0,68.0,56.0,80.0,82.0,56.0,74.0,45.0,34.0,54.0,89.0,80.0,16.0,73.0,45.0,18.0,75.0,57.0,37.0,27.0,73.0,46.0,24.0,60.0,73.0,41.0,86.0,12.0,22.0,102.0,81.0,24.0,33.0,14.0,96.0,34.0,54.0,82.0,81.0
81.0,57.0,60.0,69.0,18.0,78.0,61.0,78.0,57.0,69.0,13.0,57.0,75.0,15.0,38.0,57.0,36.0,62.0,31.0,69.0,32.0,41.0,36.0,22.0,101.0,24.0,23.0,92.0,70.0,26.0,64.0,50.0,62.0,36.0,107.0,37.0,43.0,83.0,29.0,87.0,30.0,70.0,73.0,34.0,18.0,8.0,52.0,85.0,55.0,68.0,20.0,76.0,32.0,45.0,94.0,92.0,101.0,69.0,62.0,83.0,103.0,25.0,68.0,56.0,83.0,82.0,56.0,74.0,48.0,34.0,54.0,89.0,80.0,16.0,76.0,48.0,18.0,77.0,57.0,37.0,29.0,73.0,47.0,24.0,63.0,73.0,41.0,86.0,12.0,22.0,102.0,81.0,24.0,33.0,14.0,96.0,34.0,54.0,82.0,81.0
81.0,57.0,60.0,69.0,18.0,78.0,61.0,78.0,57.0,69.0,13.0,57.0,75.0,15.0,38.0,57.0,36.0,62.0,31.0,69.0,32.0,41.0,36.0,22.0,106.0,24.0,23.0,92.0,70.0,26.0,66.0,50.0,62.0,36.0,107.0,37.0,43.0,83.0,29.0,87.0,30.0,70.0,73.0,36.0,18.0,8.0,52.0,85.0,60.0,68.0,20.0,76.0,32.0,45.0,94.0,92.0,104.0,69.0,64.0,83.0,108.0,25.0,68.0,56.0,83.0,82.0,56.0,74.0,48.0,34.0,54.0,89.0,80.0,16.0,76.0,49.0,18.0,77.0,57.0,37.0,31.0,73.0,50.0,24.0,63.0,73.0,41.0,86.0,12.0,22.0,102.0,81.0,24.0,33.0,14.0,96.0,34.0,54.0,82.0,81.0
