"(""B"", 0.0)","(""D"", 0.0)","(""F"", 0.0)","(""C"", 0.0)","(""B"", 0.0)","(""F"", 0.0)","(""C"", 0.0)","(""E"", 0.0)","(""C"", 0.0)","(""G"", 0.0)","(""E"", 0.0)","(""E"", 0.0)","(""C"", 0.0)","(""G"", 0.0)","(""E"", 0.0)","(""G"", 0.0)","(""D"", 0.0)","(""C"", 0.0)","(""C"", 0.0)","(""A"", 0.0)"
"(3, 2.29)","(6, 0.61)","(8, 1.73)","(5, 2.27)","(3, 3.29)","(8, 1.91)","(5, 0.82)","(7, 0.75)","(5, 2.55)","(9, 1.19)","(7, 0.23)","(7, 0.2)","(5, 2.63)","(9, 1.13)","(7, 2.19)","(9, 1.19)","(6, 3.1)","(5, 2.27)","(5, 2.27)","(1, 0.77)"
"(2, 1.45)","(3, 0.43)","(7, 0.2)","(6, 1.04)","(6, 0.17)","(5, 2.96)","(2, 1.45)","(8, 1.43)","(6, 0.08)","(6, 3.1)","(8, 1.95)","(8, 1.73)","(8, 1.9)","(8, 1.62)","(4, 3.33)","(6, 0.18)","(9, 1.19)","(6, 1.04)","(6, 1.04)","(2, 3.33)"
"(5, 0.82)","(2, 3.33)","(""E"", 0.0)","(""D"", 0.0)","(5, 3.16)","(4, 0.37)","(3, 2.29)","(5, 2.63)","(9, 1.19)","(""D"", 0.0)","(5, 1.9)","(""F"", 0.0)","(""F"", 0.0)","(""F"", 0.0)","(1, 1.79)","(5, 3.16)","(""G"", 0.0)","(""D"", 0.0)","(""D"", 0.0)","(3, 0.43)"
"(""C"", 0.0)","(1, 0.77)","(0, 0)","(0, 0)","(8, 1.89)","(1, 1.79)","(""B"", 0.0)","(""C"", 0.0)","(""G"", 0.0)","(0, 0)","(6, 1.2)","(0, 0)","(0, 0)","(0, 0)","(""A"", 0.0)","(2, 0.87)","(0, 0)","(0, 0)","(0, 0)","(6, 0.61)"
"(0, 0)","(""A"", 0.0)","(0, 0)","(0, 0)","(7, 0.3)","(""A"", 0.0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(""D"", 0.0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0.92)","(0, 0)","(0, 0)","(0, 0)","(""D"", 0.0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(""E"", 0.0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(""A"", 0.0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
